name,url
Europe Minor Open Qualifier 1 - IEM Katowice 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4121
DreamHack Open Atlanta 2018 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=4170
GG.BET Shuffle - IEM Chicago Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=4046
FACEIT Major 2018 Showmatch,https://www.hltv.org/stats/players/11893/zywoo?event=4088
ESEA MDL Season 28 Europe Relegation,https://www.hltv.org/stats/players/11893/zywoo?event=3898
EPICENTER 2018 Europe Open Qualifier #3,https://www.hltv.org/stats/players/11893/zywoo?event=4007
CBE 2018 Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3945
ESEA Advanced Season 28 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=3910
StarSeries i-League Season 6 Europe Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3893
CBE 2018 Europe Open Qualifier #3,https://www.hltv.org/stats/players/11893/zywoo?event=3881
ESL National Championship France Summer 2018,https://www.hltv.org/stats/players/11893/zywoo?event=3855
DreamHack Open Valencia 2018 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3745
ESL One Cologne 2018 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3705
DreamHack Open Summer 2018 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3726
StarSeries i-League Season 5 Europe Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3695
DreamHack Open Tours 2018 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3662
ECS Season 5 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=3524
ECS Season 5 Europe Qualifier #4,https://www.hltv.org/stats/players/11893/zywoo?event=3523
ESEA MDL Season 27 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=3469
ESL National Championship France Winter 2017,https://www.hltv.org/stats/players/11893/zywoo?event=3448
