date,player_team,opponent,map,kd,plus_minus,rating,source_url
08/02/26,Vitality,FURIA,inf,27 - 10,+17,2.22,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
08/02/26,Vitality,FURIA,mrg,21 - 13,+8,1.28,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
07/02/26,Vitality,MOUZ,d2,18 - 8,+10,1.70,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
07/02/26,Vitality,MOUZ,nuke,22 - 11,+11,1.68,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
03/02/26,Vitality,Aurora,ovp,23 - 10,+13,2.10,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
03/02/26,Vitality,Aurora,anc,53 - 26,+27,1.65,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
02/02/26,Vitality,3DMAX,d2,19 - 8,+11,1.81,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
02/02/26,Vitality,3DMAX,inf,18 - 10,+8,1.41,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
31/01/26,Vitality,BC.Game,ovp,15 - 8,+7,1.26,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
31/01/26,Vitality,BC.Game,d2,14 - 10,+4,1.03,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
24/01/26,Vitality,Falcons,mrg,5 - 15,-10,0.56,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8246
24/01/26,Vitality,Falcons,anb,19 - 8,+11,1.83,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8246
24/01/26,Vitality,Falcons,inf,13 - 17,-4,0.54,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8246
23/01/26,Vitality,GamerLegion,d2,20 - 13,+7,1.35,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8246
23/01/26,Vitality,GamerLegion,inf,15 - 16,-1,1.28,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8246
18/01/26,Vitality,EYEBALLERS,ovp,25 - 9,+16,1.85,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8876
18/01/26,Vitality,EYEBALLERS,anb,24 - 21,+3,1.10,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8876
14/01/26,Vitality,Virtus.pro,d2,19 - 9,+10,2.02,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8876
14/01/26,Vitality,Virtus.pro,ovp,21 - 8,+13,1.74,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8876
14/12/25,Vitality,FaZe,ovp,14 - 6,+8,1.70,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
14/12/25,Vitality,FaZe,inf,16 - 12,+4,1.06,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
14/12/25,Vitality,FaZe,d2,17 - 8,+9,1.60,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
14/12/25,Vitality,FaZe,nuke,11 - 13,-2,0.83,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
13/12/25,Vitality,Spirit,d2,18 - 9,+9,1.42,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
13/12/25,Vitality,Spirit,mrg,25 - 23,+2,1.08,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
11/12/25,Vitality,The MongolZ,d2,21 - 10,+11,1.74,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
11/12/25,Vitality,The MongolZ,mrg,25 - 8,+17,2.47,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
06/12/25,Vitality,Natus Vincere,trn,21 - 15,+6,1.43,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
06/12/25,Vitality,Natus Vincere,inf,19 - 15,+4,1.26,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
05/12/25,Vitality,B8,inf,17 - 8,+9,2.05,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8042
