event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating
BLAST Bounty 2026 Season 1 Finals,"Valletta",8246,24/01/26,Vitality,Falcons,mrg,5 - 15,-10,0.56
BLAST Bounty 2026 Season 1 Finals,"Valletta",8246,24/01/26,Vitality,Falcons,anb,19 - 8,+11,1.83
BLAST Bounty 2026 Season 1 Finals,"Valletta",8246,24/01/26,Vitality,Falcons,inf,13 - 17,-4,0.54
BLAST Bounty 2026 Season 1 Finals,"Valletta",8246,23/01/26,Vitality,GamerLegion,d2,20 - 13,+7,1.35
BLAST Bounty 2026 Season 1 Finals,"Valletta",8246,23/01/26,Vitality,GamerLegion,inf,15 - 16,-1,1.28
StarLadder Budapest Major 2025,"Budapest",8042,14/12/25,Vitality,FaZe,ovp,14 - 6,+8,1.70
StarLadder Budapest Major 2025,"Budapest",8042,14/12/25,Vitality,FaZe,inf,16 - 12,+4,1.06
StarLadder Budapest Major 2025,"Budapest",8042,14/12/25,Vitality,FaZe,d2,17 - 8,+9,1.60
StarLadder Budapest Major 2025,"Budapest",8042,14/12/25,Vitality,FaZe,nuke,11 - 13,-2,0.83
StarLadder Budapest Major 2025,"Budapest",8042,13/12/25,Vitality,Spirit,d2,18 - 9,+9,1.42
StarLadder Budapest Major 2025,"Budapest",8042,13/12/25,Vitality,Spirit,mrg,25 - 23,+2,1.08
StarLadder Budapest Major 2025,"Budapest",8042,11/12/25,Vitality,The MongolZ,d2,21 - 10,+11,1.74
StarLadder Budapest Major 2025,"Budapest",8042,11/12/25,Vitality,The MongolZ,mrg,25 - 8,+17,2.47
StarLadder Budapest Major 2025,"Budapest",8042,06/12/25,Vitality,Natus Vincere,trn,21 - 15,+6,1.43
StarLadder Budapest Major 2025,"Budapest",8042,06/12/25,Vitality,Natus Vincere,inf,19 - 15,+4,1.26
StarLadder Budapest Major 2025,"Budapest",8042,05/12/25,Vitality,B8,inf,17 - 8,+9,2.05
StarLadder Budapest Major 2025,"Budapest",8042,04/12/25,Vitality,3DMAX,nuke,12 - 7,+5,1.16
StarLadder Budapest Major 2025,"Budapest",8042,04/12/25,Vitality,FaZe,nuke,18 - 17,+1,1.11
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,15/11/25,Vitality,Falcons,nuke,18 - 12,+6,1.68
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,15/11/25,Vitality,Falcons,inf,19 - 16,+3,1.14
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,14/11/25,Vitality,Spirit,mrg,24 - 13,+11,1.62
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,14/11/25,Vitality,Spirit,nuke,33 - 25,+8,1.41
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,14/11/25,Vitality,Spirit,d2,13 - 15,-2,0.78
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,13/11/25,Vitality,FURIA,inf,7 - 13,-6,0.96
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,13/11/25,Vitality,FURIA,ovp,20 - 17,+3,1.03
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,13/11/25,Vitality,FURIA,nuke,20 - 16,+4,1.19
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,12/11/25,Vitality,TYLOO,inf,19 - 16,+3,1.38
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,12/11/25,Vitality,TYLOO,nuke,9 - 15,-6,0.86
BLAST Rivals 2025 Season 2,"Chek Lap Kok",7908,12/11/25,Vitality,TYLOO,ovp,14 - 7,+7,1.69
IEM Chengdu 2025,"Chengdu",8041,09/11/25,Vitality,FURIA,ovp,16 - 17,-1,1.08
IEM Chengdu 2025,"Chengdu",8041,09/11/25,Vitality,FURIA,inf,21 - 16,+5,1.36
IEM Chengdu 2025,"Chengdu",8041,09/11/25,Vitality,FURIA,anc,15 - 16,-1,1.05
IEM Chengdu 2025,"Chengdu",8041,08/11/25,Vitality,MOUZ,inf,19 - 14,+5,1.48
IEM Chengdu 2025,"Chengdu",8041,08/11/25,Vitality,MOUZ,trn,14 - 16,-2,0.93
IEM Chengdu 2025,"Chengdu",8041,08/11/25,Vitality,MOUZ,nuke,30 - 16,+14,1.75
IEM Chengdu 2025,"Chengdu",8041,07/11/25,Vitality,Astralis,mrg,19 - 11,+8,1.64
IEM Chengdu 2025,"Chengdu",8041,07/11/25,Vitality,Astralis,nuke,19 - 19,0,0.94
IEM Chengdu 2025,"Chengdu",8041,07/11/25,Vitality,Astralis,inf,15 - 11,+4,1.33
IEM Chengdu 2025,"Chengdu",8041,05/11/25,Vitality,G2,mrg,16 - 14,+2,1.02
IEM Chengdu 2025,"Chengdu",8041,05/11/25,Vitality,G2,trn,25 - 7,+18,2.43
IEM Chengdu 2025,"Chengdu",8041,05/11/25,Vitality,Lynn Vision,nuke,14 - 11,+3,1.39
IEM Chengdu 2025,"Chengdu",8041,05/11/25,Vitality,Lynn Vision,d2,12 - 5,+7,1.38
IEM Chengdu 2025,"Chengdu",8041,04/11/25,Vitality,MOUZ,inf,36 - 29,+7,1.38
IEM Chengdu 2025,"Chengdu",8041,04/11/25,Vitality,MOUZ,nuke,21 - 10,+11,1.82
IEM Chengdu 2025,"Chengdu",8041,04/11/25,Vitality,MOUZ,trn,10 - 13,-3,0.95
IEM Chengdu 2025,"Chengdu",8041,03/11/25,Vitality,Virtus.pro,mrg,18 - 3,+15,2.02
IEM Chengdu 2025,"Chengdu",8041,03/11/25,Vitality,Virtus.pro,d2,12 - 12,0,1.13
IEM Chengdu 2025,"Chengdu",8041,03/11/25,Vitality,Virtus.pro,ovp,8 - 15,-7,0.62
ESL Pro League Season 22,"Stockholm",8040,12/10/25,Vitality,Falcons,d2,12 - 10,+2,1.17
ESL Pro League Season 22,"Stockholm",8040,12/10/25,Vitality,Falcons,trn,17 - 9,+8,1.12
ESL Pro League Season 22,"Stockholm",8040,12/10/25,Vitality,Falcons,inf,13 - 8,+5,0.99
ESL Pro League Season 22,"Stockholm",8040,11/10/25,Vitality,FaZe,d2,22 - 8,+14,1.88
ESL Pro League Season 22,"Stockholm",8040,11/10/25,Vitality,FaZe,inf,16 - 15,+1,1.33
ESL Pro League Season 22,"Stockholm",8040,11/10/25,Vitality,FaZe,mrg,39 - 25,+14,1.51
ESL Pro League Season 22,"Stockholm",8040,10/10/25,Vitality,FURIA,nuke,23 - 11,+12,1.68
ESL Pro League Season 22,"Stockholm",8040,10/10/25,Vitality,FURIA,inf,18 - 13,+5,1.35
ESL Pro League Season 22,"Stockholm",8040,10/10/25,Vitality,FURIA,ovp,19 - 19,0,1.10
ESL Pro League Season 22,"Stockholm",8040,07/10/25,Vitality,G2,mrg,25 - 22,+3,1.14
ESL Pro League Season 22,"Stockholm",8040,07/10/25,Vitality,G2,inf,12 - 4,+8,1.51
ESL Pro League Season 22,"Stockholm",8040,06/10/25,Vitality,HOTU,d2,9 - 9,0,0.90
ESL Pro League Season 22,"Stockholm",8040,06/10/25,Vitality,HOTU,ovp,20 - 10,+10,1.59
ESL Pro League Season 22,"Stockholm",8040,05/10/25,Vitality,GamerLegion,d2,21 - 8,+13,2.47
ESL Pro League Season 22,"Stockholm",8040,05/10/25,Vitality,GamerLegion,ovp,19 - 5,+14,1.77
ESL Pro League Season 22,"Stockholm",8040,04/10/25,Vitality,Gentle Mates,trn,15 - 13,+2,0.98
ESL Pro League Season 22,"Stockholm",8040,04/10/25,Vitality,Gentle Mates,nuke,14 - 14,0,0.91
BLAST Open London 2025 Finals,"London",7912,07/09/25,Vitality,G2,trn,11 - 16,-5,0.85
BLAST Open London 2025 Finals,"London",7912,07/09/25,Vitality,G2,inf,17 - 22,-5,0.72
BLAST Open London 2025 Finals,"London",7912,07/09/25,Vitality,G2,ovp,20 - 10,+10,1.90
BLAST Open London 2025 Finals,"London",7912,07/09/25,Vitality,G2,mrg,30 - 6,+24,2.61
BLAST Open London 2025 Finals,"London",7912,07/09/25,Vitality,G2,d2,9 - 13,-4,1.03
BLAST Open London 2025 Finals,"London",7912,06/09/25,Vitality,MOUZ,inf,19 - 12,+7,1.56
BLAST Open London 2025 Finals,"London",7912,06/09/25,Vitality,MOUZ,mrg,16 - 9,+7,1.32
Esports World Cup 2025,"Riyadh",8039,24/08/25,Vitality,Falcons,nuke,12 - 15,-3,0.97
Esports World Cup 2025,"Riyadh",8039,24/08/25,Vitality,Falcons,trn,10 - 14,-4,0.87
Esports World Cup 2025,"Riyadh",8039,24/08/25,Vitality,Falcons,inf,9 - 13,-4,0.72
Esports World Cup 2025,"Riyadh",8039,23/08/25,Vitality,The MongolZ,nuke,14 - 14,0,1.20
Esports World Cup 2025,"Riyadh",8039,23/08/25,Vitality,The MongolZ,d2,11 - 14,-3,0.81
Esports World Cup 2025,"Riyadh",8039,23/08/25,Vitality,The MongolZ,mrg,17 - 15,+2,1.33
Esports World Cup 2025,"Riyadh",8039,21/08/25,Vitality,TYLOO,nuke,20 - 12,+8,1.45
Esports World Cup 2025,"Riyadh",8039,21/08/25,Vitality,TYLOO,inf,24 - 7,+17,2.73
Esports World Cup 2025,"Riyadh",8039,20/08/25,Vitality,Liquid,d2,24 - 20,+4,1.18
Esports World Cup 2025,"Riyadh",8039,20/08/25,Vitality,Liquid,mrg,27 - 14,+13,1.95
BLAST Bounty 2025 Season 2 Finals,"Valletta",7910,16/08/25,Vitality,The MongolZ,inf,17 - 16,+1,0.96
BLAST Bounty 2025 Season 2 Finals,"Valletta",7910,16/08/25,Vitality,The MongolZ,mrg,15 - 13,+2,1.13
BLAST Bounty 2025 Season 2 Finals,"Valletta",7910,15/08/25,Vitality,Liquid,nuke,30 - 21,+9,1.34
BLAST Bounty 2025 Season 2 Finals,"Valletta",7910,15/08/25,Vitality,Liquid,trn,25 - 17,+8,1.13
IEM Cologne 2025,"Cologne",8038,02/08/25,Vitality,MOUZ,trn,13 - 18,-5,0.79
IEM Cologne 2025,"Cologne",8038,02/08/25,Vitality,MOUZ,mrg,8 - 19,-11,0.45
IEM Cologne 2025,"Cologne",8038,29/07/25,Vitality,The MongolZ,inf,20 - 12,+8,1.64
IEM Cologne 2025,"Cologne",8038,29/07/25,Vitality,The MongolZ,mrg,23 - 9,+14,1.78
IEM Cologne 2025,"Cologne",8038,27/07/25,Vitality,G2,trn,23 - 15,+8,1.45
IEM Cologne 2025,"Cologne",8038,27/07/25,Vitality,G2,inf,10 - 10,0,0.90
IEM Cologne 2025,"Cologne",8038,26/07/25,Vitality,Astralis,ovp,12 - 12,0,1.01
IEM Cologne 2025,"Cologne",8038,26/07/25,Vitality,Astralis,nuke,19 - 19,0,1.12
BLAST.tv Austin Major 2025,"Austin",7902,22/06/25,Vitality,The MongolZ,inf,10 - 10,0,0.97
