event_name,location_city,date,player_team,opponent,map,kd,plus_minus,rating,location_openaq,co,no,no2,nox,o3,pm10,pm25,so2,weather_code,temperature_2m_max,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,apparent_temperature_mean,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,temperature_2m_min,temperature_2m_mean,elevation
BLAST Rivals 2025 Season 2,Chek Lap Kok,2025-11-13,Vitality,FURIA,nuke,20 - 16,4,1.19,Tung Chung,715.0,,22.5,,46.4,16.9,10.8,1.25,53.0,22.8,22.389532,17.671806,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,39957.08,21130.766,1.2,0.0,1.2,4.0,19.866161,33.839996,9.904871,12.09,2.9560764,19.44414,87.416664,100.0,21.0,14.85,16.25,15.481248,2.9560764,75.23781,86.21007,64.166855,0.0,1016.20416,1017.6,1014.0,1011.71704,1013.09033,1009.5481,26.924997,17.572054,23.4,15.073858,16.981861,18.14039,16.169773,0.9861773,18.4,20.08125,38.0
BLAST Rivals 2025 Season 2,Chek Lap Kok,2025-11-13,Vitality,FURIA,ovp,20 - 17,3,1.03,Tung Chung,715.0,,22.5,,46.4,16.9,10.8,1.25,53.0,22.8,22.389532,17.671806,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,39957.08,21130.766,1.2,0.0,1.2,4.0,19.866161,33.839996,9.904871,12.09,2.9560764,19.44414,87.416664,100.0,21.0,14.85,16.25,15.481248,2.9560764,75.23781,86.21007,64.166855,0.0,1016.20416,1017.6,1014.0,1011.71704,1013.09033,1009.5481,26.924997,17.572054,23.4,15.073858,16.981861,18.14039,16.169773,0.9861773,18.4,20.08125,38.0
BLAST Rivals 2025 Season 2,Chek Lap Kok,2025-11-14,Vitality,Spirit,d2,13 - 15,-2,0.78,Tung Chung,688.0,,27.3,,44.4,20.3,19.8,1.31,3.0,25.5,27.385996,18.694977,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,39899.76,26549.01,0.0,0.0,0.0,0.0,14.861722,25.919998,30.867432,13.58,2.8875632,24.036158,65.166664,100.0,2.0,15.7,19.1,17.729166,2.8875632,75.25713,85.17329,57.234585,0.0,1017.82916,1019.7,1015.2,1013.3703,1015.2169,1010.78906,14.639999,8.865798,7.5599995,4.942631,19.191246,20.442612,16.709927,1.3625944,18.9,22.418749,38.0
BLAST Rivals 2025 Season 2,Chek Lap Kok,2025-11-14,Vitality,Spirit,mrg,24 - 13,11,1.62,Tung Chung,688.0,,27.3,,44.4,20.3,19.8,1.31,3.0,25.5,27.385996,18.694977,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,39899.76,26549.01,0.0,0.0,0.0,0.0,14.861722,25.919998,30.867432,13.58,2.8875632,24.036158,65.166664,100.0,2.0,15.7,19.1,17.729166,2.8875632,75.25713,85.17329,57.234585,0.0,1017.82916,1019.7,1015.2,1013.3703,1015.2169,1010.78906,14.639999,8.865798,7.5599995,4.942631,19.191246,20.442612,16.709927,1.3625944,18.9,22.418749,38.0
BLAST Rivals 2025 Season 2,Chek Lap Kok,2025-11-14,Vitality,Spirit,nuke,33 - 25,8,1.41,Tung Chung,688.0,,27.3,,44.4,20.3,19.8,1.31,3.0,25.5,27.385996,18.694977,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,39899.76,26549.01,0.0,0.0,0.0,0.0,14.861722,25.919998,30.867432,13.58,2.8875632,24.036158,65.166664,100.0,2.0,15.7,19.1,17.729166,2.8875632,75.25713,85.17329,57.234585,0.0,1017.82916,1019.7,1015.2,1013.3703,1015.2169,1010.78906,14.639999,8.865798,7.5599995,4.942631,19.191246,20.442612,16.709927,1.3625944,18.9,22.418749,38.0
BLAST Rivals 2025 Season 2,Chek Lap Kok,2025-11-15,Vitality,Falcons,inf,19 - 16,3,1.14,Tung Chung,668.0,,27.2,,75.1,32.1,18.3,1.34,3.0,26.05,27.911282,22.919743,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,39843.492,23243.072,0.0,0.0,0.0,0.0,12.882267,18.72,77.39634,13.76,2.9700172,25.071432,37.458332,100.0,0.0,13.55,19.9,18.077084,2.9700172,74.05395,86.56189,46.04753,0.0,1019.7126,1020.9,1017.6,1015.25635,1016.4334,1013.18304,12.764999,7.881015,3.2399998,0.9,19.691023,20.541359,18.260725,1.8188721,21.25,23.139582,38.0
BLAST Rivals 2025 Season 2,Chek Lap Kok,2025-11-15,Vitality,Falcons,nuke,18 - 12,6,1.68,Tung Chung,668.0,,27.2,,75.1,32.1,18.3,1.34,3.0,26.05,27.911282,22.919743,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,39843.492,23243.072,0.0,0.0,0.0,0.0,12.882267,18.72,77.39634,13.76,2.9700172,25.071432,37.458332,100.0,0.0,13.55,19.9,18.077084,2.9700172,74.05395,86.56189,46.04753,0.0,1019.7126,1020.9,1017.6,1015.25635,1016.4334,1013.18304,12.764999,7.881015,3.2399998,0.9,19.691023,20.541359,18.260725,1.8188721,21.25,23.139582,38.0
BLAST Rivals 2026 Season 1,Fort Worth,2026-04-29,Vitality,FUT,d2,30 - 11,19,1.78,Haws Athletic Center,,,,,,,4.92,,65.0,27.3,30.18708,14.182079,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,48312.395,7200.0,24.800001,0.0,24.800001,12.0,16.198,38.519997,21.5101,6.41,1.5612994,19.68098,80.708336,100.0,2.0,12.45,21.9,16.110418,1.5612994,83.09376,92.36487,69.36509,0.0,1013.0832,1016.4,1007.9,990.2956,993.28925,985.7132,27.284998,11.289121,7.92,3.6,17.016733,22.986395,13.402687,1.1108513,15.4,19.083334,195.0
BLAST Rivals 2026 Season 1,Fort Worth,2026-04-29,Vitality,FUT,mrg,16 - 14,2,0.92,Haws Athletic Center,,,,,,,4.92,,65.0,27.3,30.18708,14.182079,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,48312.395,7200.0,24.800001,0.0,24.800001,12.0,16.198,38.519997,21.5101,6.41,1.5612994,19.68098,80.708336,100.0,2.0,12.45,21.9,16.110418,1.5612994,83.09376,92.36487,69.36509,0.0,1013.0832,1016.4,1007.9,990.2956,993.28925,985.7132,27.284998,11.289121,7.92,3.6,17.016733,22.986395,13.402687,1.1108513,15.4,19.083334,195.0
BLAST Rivals 2026 Season 1,Fort Worth,2026-04-29,Vitality,FUT,nuke,23 - 12,11,1.36,Haws Athletic Center,,,,,,,4.92,,65.0,27.3,30.18708,14.182079,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,48312.395,7200.0,24.800001,0.0,24.800001,12.0,16.198,38.519997,21.5101,6.41,1.5612994,19.68098,80.708336,100.0,2.0,12.45,21.9,16.110418,1.5612994,83.09376,92.36487,69.36509,0.0,1013.0832,1016.4,1007.9,990.2956,993.28925,985.7132,27.284998,11.289121,7.92,3.6,17.016733,22.986395,13.402687,1.1108513,15.4,19.083334,195.0
