event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating,datetime_from,datetime_to
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,22/02/26,Vitality,PARIVISION,inf,20 - 19,+1,1.28,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,22/02/26,Vitality,PARIVISION,d2,12 - 5,+7,1.33,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,22/02/26,Vitality,PARIVISION,ovp,16 - 15,+1,1.07,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,21/02/26,Vitality,The MongolZ,d2,10 - 6,+4,1.34,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,21/02/26,Vitality,The MongolZ,mrg,26 - 16,+10,1.44,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,20/02/26,Vitality,Aurora,ovp,25 - 10,+15,1.86,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,20/02/26,Vitality,Aurora,inf,19 - 10,+9,1.46,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,16/02/26,Vitality,MOUZ,inf,22 - 12,+10,1.63,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,16/02/26,Vitality,MOUZ,d2,22 - 10,+12,2.03,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,15/02/26,Vitality,The MongolZ,nuke,12 - 10,+2,1.13,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,15/02/26,Vitality,The MongolZ,d2,11 - 5,+6,1.51,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,15/02/26,Vitality,The MongolZ,mrg,16 - 14,+2,1.06,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,14/02/26,Vitality,G2,anb,18 - 9,+9,1.47,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,14/02/26,Vitality,G2,inf,14 - 13,+1,0.91,2026-02-14T00:00:00,2026-02-23T00:00:00
PGL Cluj-Napoca 2026,Cluj-Napoca,8047,14/02/26,Vitality,G2,mrg,21 - 13,+8,1.85,2026-02-14T00:00:00,2026-02-23T00:00:00
IEM Kraków 2026,Kraków,8240,08/02/26,Vitality,FURIA,ovp,25 - 12,+13,1.52,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,08/02/26,Vitality,FURIA,nuke,17 - 6,+11,1.83,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,08/02/26,Vitality,FURIA,inf,27 - 10,+17,2.22,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,08/02/26,Vitality,FURIA,mrg,21 - 13,+8,1.28,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,07/02/26,Vitality,MOUZ,d2,18 - 8,+10,1.70,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,07/02/26,Vitality,MOUZ,nuke,22 - 11,+11,1.68,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,03/02/26,Vitality,Aurora,ovp,23 - 10,+13,2.10,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,03/02/26,Vitality,Aurora,anc,53 - 26,+27,1.65,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,02/02/26,Vitality,3DMAX,d2,19 - 8,+11,1.81,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,02/02/26,Vitality,3DMAX,inf,18 - 10,+8,1.41,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,31/01/26,Vitality,BC.Game,ovp,15 - 8,+7,1.26,2026-01-31T00:00:00,2026-02-09T00:00:00
IEM Kraków 2026,Kraków,8240,31/01/26,Vitality,BC.Game,d2,14 - 10,+4,1.03,2026-01-31T00:00:00,2026-02-09T00:00:00
BLAST Bounty 2026 Season 1 Finals,Valletta,8246,24/01/26,Vitality,Falcons,mrg,5 - 15,-10,0.56,2026-01-23T00:00:00,2026-01-25T00:00:00
BLAST Bounty 2026 Season 1 Finals,Valletta,8246,24/01/26,Vitality,Falcons,anb,19 - 8,+11,1.83,2026-01-23T00:00:00,2026-01-25T00:00:00
BLAST Bounty 2026 Season 1 Finals,Valletta,8246,24/01/26,Vitality,Falcons,inf,13 - 17,-4,0.54,2026-01-23T00:00:00,2026-01-25T00:00:00
BLAST Bounty 2026 Season 1 Finals,Valletta,8246,23/01/26,Vitality,GamerLegion,d2,20 - 13,+7,1.35,2026-01-23T00:00:00,2026-01-25T00:00:00
BLAST Bounty 2026 Season 1 Finals,Valletta,8246,23/01/26,Vitality,GamerLegion,inf,15 - 16,-1,1.28,2026-01-23T00:00:00,2026-01-25T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,14/12/25,Vitality,FaZe,ovp,14 - 6,+8,1.70,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,14/12/25,Vitality,FaZe,inf,16 - 12,+4,1.06,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,14/12/25,Vitality,FaZe,d2,17 - 8,+9,1.60,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,14/12/25,Vitality,FaZe,nuke,11 - 13,-2,0.83,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,13/12/25,Vitality,Spirit,d2,18 - 9,+9,1.42,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,13/12/25,Vitality,Spirit,mrg,25 - 23,+2,1.08,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,11/12/25,Vitality,The MongolZ,d2,21 - 10,+11,1.74,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,11/12/25,Vitality,The MongolZ,mrg,25 - 8,+17,2.47,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,06/12/25,Vitality,Natus Vincere,trn,21 - 15,+6,1.43,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,06/12/25,Vitality,Natus Vincere,inf,19 - 15,+4,1.26,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,05/12/25,Vitality,B8,inf,17 - 8,+9,2.05,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,04/12/25,Vitality,3DMAX,nuke,12 - 7,+5,1.16,2025-12-04T00:00:00,2025-12-15T00:00:00
StarLadder Budapest Major 2025,Budapest,8042,04/12/25,Vitality,FaZe,nuke,18 - 17,+1,1.11,2025-12-04T00:00:00,2025-12-15T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,15/11/25,Vitality,Falcons,nuke,18 - 12,+6,1.68,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,15/11/25,Vitality,Falcons,inf,19 - 16,+3,1.14,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,14/11/25,Vitality,Spirit,mrg,24 - 13,+11,1.62,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,14/11/25,Vitality,Spirit,nuke,33 - 25,+8,1.41,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,14/11/25,Vitality,Spirit,d2,13 - 15,-2,0.78,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,13/11/25,Vitality,FURIA,inf,7 - 13,-6,0.96,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,13/11/25,Vitality,FURIA,ovp,20 - 17,+3,1.03,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,13/11/25,Vitality,FURIA,nuke,20 - 16,+4,1.19,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,12/11/25,Vitality,TYLOO,inf,19 - 16,+3,1.38,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,12/11/25,Vitality,TYLOO,nuke,9 - 15,-6,0.86,2025-11-12T00:00:00,2025-11-16T00:00:00
BLAST Rivals 2025 Season 2,Chek Lap Kok,7908,12/11/25,Vitality,TYLOO,ovp,14 - 7,+7,1.69,2025-11-12T00:00:00,2025-11-16T00:00:00
IEM Chengdu 2025,Chengdu,8041,09/11/25,Vitality,FURIA,ovp,16 - 17,-1,1.08,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,09/11/25,Vitality,FURIA,inf,21 - 16,+5,1.36,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,09/11/25,Vitality,FURIA,anc,15 - 16,-1,1.05,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,08/11/25,Vitality,MOUZ,inf,19 - 14,+5,1.48,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,08/11/25,Vitality,MOUZ,trn,14 - 16,-2,0.93,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,08/11/25,Vitality,MOUZ,nuke,30 - 16,+14,1.75,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,07/11/25,Vitality,Astralis,mrg,19 - 11,+8,1.64,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,07/11/25,Vitality,Astralis,nuke,19 - 19,0,0.94,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,07/11/25,Vitality,Astralis,inf,15 - 11,+4,1.33,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,05/11/25,Vitality,G2,mrg,16 - 14,+2,1.02,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,05/11/25,Vitality,G2,trn,25 - 7,+18,2.43,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,05/11/25,Vitality,Lynn Vision,nuke,14 - 11,+3,1.39,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,05/11/25,Vitality,Lynn Vision,d2,12 - 5,+7,1.38,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,04/11/25,Vitality,MOUZ,inf,36 - 29,+7,1.38,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,04/11/25,Vitality,MOUZ,nuke,21 - 10,+11,1.82,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,04/11/25,Vitality,MOUZ,trn,10 - 13,-3,0.95,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,03/11/25,Vitality,Virtus.pro,mrg,18 - 3,+15,2.02,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,03/11/25,Vitality,Virtus.pro,d2,12 - 12,0,1.13,2025-11-03T00:00:00,2025-11-10T00:00:00
IEM Chengdu 2025,Chengdu,8041,03/11/25,Vitality,Virtus.pro,ovp,8 - 15,-7,0.62,2025-11-03T00:00:00,2025-11-10T00:00:00
ESL Pro League Season 22,Stockholm,8040,12/10/25,Vitality,Falcons,d2,12 - 10,+2,1.17,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,12/10/25,Vitality,Falcons,trn,17 - 9,+8,1.12,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,12/10/25,Vitality,Falcons,inf,13 - 8,+5,0.99,2025-10-04T00:00:00,2025-10-13T00:00:00
ESL Pro League Season 22,Stockholm,8040,11/10/25,Vitality,FaZe,d2,22 - 8,+14,1.88,2025-10-04T00:00:00,2025-10-13T00:00:00
