event_name,location_city,date,player_team,opponent,map,kd,plus_minus,rating,location_openaq,co,no,no2,nox,o3,pm10,pm25,so2
BLAST Premier Fall Final 2023,Copenhagen,2023-11-25,Vitality,Cloud9,inf,21 - 15,6,1.11,"""Copenhagen/1259""",184.0,4.66,4.71,,61.6,,,
BLAST Premier Fall Final 2023,Copenhagen,2023-11-25,Vitality,Cloud9,mrg,26 - 14,12,1.43,"""Copenhagen/1259""",184.0,4.66,4.71,,61.6,,,
BLAST Premier Fall Final 2023,Copenhagen,2023-11-25,Vitality,Cloud9,nuke,15 - 13,2,1.16,"""Copenhagen/1259""",184.0,4.66,4.71,,61.6,,,
BLAST Premier Fall Final 2023,Copenhagen,2023-11-26,Vitality,FaZe,nuke,21 - 13,8,1.28,"""Copenhagen/1259""",270.0,16.7,15.6,,48.4,,,
BLAST Premier Fall Final 2023,Copenhagen,2023-11-26,Vitality,FaZe,vtg,10 - 8,2,1.12,"""Copenhagen/1259""",270.0,16.7,15.6,,48.4,,,
BLAST Premier Fall Final 2024,Copenhagen,2024-09-25,Vitality,Astralis,d2,16 - 8,8,1.57,"""Copenhagen/1259""",,,5.06,,77.8,,,
BLAST Premier Fall Final 2024,Copenhagen,2024-09-25,Vitality,Astralis,inf,15 - 3,12,2.27,"""Copenhagen/1259""",,,5.06,,77.8,,,
BLAST Premier Fall Final 2024,Copenhagen,2024-09-26,Vitality,Liquid,anb,27 - 15,12,1.57,"""Copenhagen/1259""",,,6.44,,64.2,,,
BLAST Premier Fall Final 2024,Copenhagen,2024-09-26,Vitality,Liquid,nuke,22 - 11,11,1.72,"""Copenhagen/1259""",,,6.44,,64.2,,,
BLAST Premier Fall Final 2024,Copenhagen,2024-09-28,Vitality,G2,anb,19 - 15,4,1.22,"""Copenhagen/1259""",,,2.57,,68.3,,,
BLAST Premier Fall Final 2024,Copenhagen,2024-09-28,Vitality,G2,d2,11 - 13,-2,0.9,"""Copenhagen/1259""",,,2.57,,68.3,,,
BLAST Premier Fall Final 2024,Copenhagen,2024-09-28,Vitality,G2,mrg,27 - 22,5,1.37,"""Copenhagen/1259""",,,2.57,,68.3,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-19,Vitality,Astralis,mrg,22 - 24,-2,1.08,"""Copenhagen/1259""",238.0,,10.8,,65.6,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-19,Vitality,Ninjas in Pyjamas,inf,30 - 18,12,1.53,"""Copenhagen/1259""",238.0,,10.8,,65.6,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-19,Vitality,OG,d2,27 - 13,14,1.68,"""Copenhagen/1259""",238.0,,10.8,,65.6,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-26,Vitality,G2,inf,13 - 10,3,1.07,"""Copenhagen/1259""",146.0,,12.2,,77.1,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-26,Vitality,G2,nuke,17 - 16,1,0.98,"""Copenhagen/1259""",146.0,,12.2,,77.1,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-26,Vitality,G2,vtg,18 - 8,10,1.47,"""Copenhagen/1259""",146.0,,12.2,,77.1,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-27,Vitality,Natus Vincere,inf,10 - 16,-6,0.92,"""Copenhagen/1259""",147.0,,6.26,,66.1,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-27,Vitality,Natus Vincere,mrg,20 - 14,6,1.19,"""Copenhagen/1259""",147.0,,6.26,,66.1,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-28,Vitality,G2,d2,22 - 17,5,1.31,"""Copenhagen/1259""",114.0,,3.73,,69.3,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-28,Vitality,G2,mrg,26 - 20,6,1.18,"""Copenhagen/1259""",114.0,,3.73,,69.3,,,
BLAST Premier Fall Groups 2022,Copenhagen,2022-08-28,Vitality,G2,vtg,27 - 16,11,1.53,"""Copenhagen/1259""",114.0,,3.73,,69.3,,,
BLAST Premier Fall Groups 2023,Copenhagen,2023-07-13,Vitality,Evil Geniuses,ovp,15 - 11,4,1.11,"""Copenhagen/1259""",127.0,3.85,3.87,,70.9,,,
BLAST Premier Fall Groups 2023,Copenhagen,2023-07-13,Vitality,Evil Geniuses,vtg,14 - 4,10,1.66,"""Copenhagen/1259""",127.0,3.85,3.87,,70.9,,,
BLAST Premier Fall Groups 2023,Copenhagen,2023-07-19,Vitality,Ninjas in Pyjamas,mrg,30 - 16,14,1.55,"""Copenhagen/1259""",128.0,2.95,2.75,,64.2,,,
BLAST Premier Fall Groups 2023,Copenhagen,2023-07-19,Vitality,Ninjas in Pyjamas,ovp,20 - 17,3,1.05,"""Copenhagen/1259""",128.0,2.95,2.75,,64.2,,,
BLAST Premier Fall Groups 2023,Copenhagen,2023-07-23,Vitality,BIG,anb,24 - 18,6,1.34,"""Copenhagen/1259""",159.0,4.49,4.17,,66.6,,,
BLAST Premier Fall Groups 2023,Copenhagen,2023-07-23,Vitality,BIG,inf,21 - 15,6,1.34,"""Copenhagen/1259""",159.0,4.49,4.17,,66.6,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-07-29,Vitality,GamerLegion,anb,22 - 18,4,1.14,"""Copenhagen/1259""",,,1.45,,64.0,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-07-29,Vitality,GamerLegion,d2,25 - 6,19,2.14,"""Copenhagen/1259""",,,1.45,,64.0,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-07-29,Vitality,GamerLegion,mrg,20 - 25,-5,0.96,"""Copenhagen/1259""",,,1.45,,64.0,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-07-30,Vitality,Astralis,d2,13 - 16,-3,0.79,"""Copenhagen/1259""",,,8.82,,57.3,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-07-30,Vitality,Astralis,nuke,14 - 13,1,1.3,"""Copenhagen/1259""",,,8.82,,57.3,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-08-03,Vitality,Astralis,mrg,20 - 13,7,1.32,"""Copenhagen/1259""",,,7.09,,78.2,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-08-03,Vitality,Astralis,nuke,24 - 9,15,1.95,"""Copenhagen/1259""",,,7.09,,78.2,,,
BLAST Premier Fall Groups 2024,Copenhagen,2024-08-03,Vitality,Astralis,vtg,22 - 15,7,1.43,"""Copenhagen/1259""",,,7.09,,78.2,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-15,Vitality,G2,d2,27 - 12,15,1.64,Restelo,,,16.0,,40.3,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-15,Vitality,G2,inf,12 - 16,-4,0.8,Restelo,,,16.0,,40.3,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-15,Vitality,G2,mrg,19 - 19,0,1.05,Restelo,,,16.0,,40.3,,,
BLAST Premier Spring Final 2022,Lisbon,2022-06-16,Vitality,paiN,d2,22 - 18,4,1.24,Restelo,,,11.8,,38.9,,,
